Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender ,persname type ,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
Aurelius,"ashk0003a-13, ashk0003b-9, caes0007-6, caes0009-9, caes0010-16, unkn0131-4",aurelius,PROPN,w-aurelius,,,,y,m,other,Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurreli,"bani0003-3, bani0003-6",Aurrelius,PROPN,w-aurreli,,,,y,m,other,Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurunculeius,caes0002-9,aurunculeius,PROPN,w-aurunculeius,,,,y,m,other,Aurelius,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,masa0941-21,b,X,w-b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barbarorum,maay0001-11,barbarus,NOUN,w-barbarorum,,,,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,,,,,
Basso,"jeru0494-13, unkn0130-73",bassus,PROPN,w-basso,,,,y,m,other,Bassus,,,,,,,,,,,,,,,,,,,,,,,,,,,
bene,"caes0163-1, nabl0001-23, nabl0002-11",bene,ADV,w-bene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boethi,caes0030-2,boethus,PROPN,w-boethi,,,,y,m,other,Boethus,,,,,,,,,,,,,,,,,,,,,,,,,,,
bona,"caes0018-18, caes0037-2, caes0148-3, caes0682-2, fiqg0002-2",bonus,ADJ,w-bona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracaraugustanorum,unkn0130-65,Bracaraugustani,PROPN,w-bracaraugustanorum,,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
